plz,dist_transit_m,dist_park_m,dist_water_m,dist_school_m,count_food_500m,count_shop_500m,count_food_1000m,count_shop_1000m,count_transit_1000m,ndvi_mean,ndvi_std,ndvi_median,ndwi_mean,ndwi_std,ndwi_median,ndbi_mean,ndbi_std,ndbi_median
12207,1217.0693697524114,460.5891110003976,287.52582783050406,311.9133731859967,4,1,10,5,0,0.35205230654524733,0.14343725951296304,0.3715555667877197,-0.33347483300196035,0.12631831141982128,-0.3523666560649872,-0.10902682023131693,0.10529795546108221,-0.11538393050432205
12209,1384.0884672286084,363.449239253014,409.0720392645956,272.67760702347016,2,0,13,1,0,0.3545375728157274,0.10838736888879955,0.3589484393596649,-0.34138576123812636,0.09000178296844924,-0.3460531234741211,-0.09562549836687571,0.081208552273792,-0.09661779552698135
12247,1122.2427720239878,229.26048755557528,206.45939978183029,274.35024588298955,12,3,19,3,0,0.3280802029834439,0.13890191450484293,0.3330068588256836,-0.31957188506842543,0.11665419841398547,-0.32775330543518066,-0.07724915290648526,0.10184175219059584,-0.07717055827379227
12249,1581.1434141575935,431.28086698394617,431.4427720104327,348.2568695812985,2,1,6,3,0,0.32292320243671796,0.13984918294914012,0.33420056104660034,-0.3131085747474304,0.11713548435970308,-0.3235776424407959,-0.07289058073548423,0.09441941446770778,-0.07703757286071777
12277,625.5997864341344,472.9685458067965,297.2755055013194,333.818620939935,1,0,6,2,1,0.3043091566919916,0.14735580156949363,0.31412410736083984,-0.29965533490817725,0.12540185275868693,-0.3135297894477844,-0.06587146132971776,0.09729924536393698,-0.06993541121482849
12279,2033.82067863828,112.35899949015032,218.71512060117928,62.260026564929866,3,1,11,3,0,0.3292579271258612,0.15011518470793567,0.34208136796951294,-0.31935889382056964,0.13036282354343853,-0.3338099420070648,-0.0789152643272359,0.10247842224780926,-0.08338616788387299
12305,775.8398691039564,452.75590157381953,789.6414284883714,361.5615133804933,0,0,8,5,1,0.3844205679392839,0.10612331838847427,0.39342790842056274,-0.3670570303540711,0.08924284950480972,-0.3755425214767456,-0.11140457448852414,0.0820759765553106,-0.11439190804958344
12307,823.9687970774538,575.7748984902248,141.70744628530534,26.28507670697725,1,0,7,1,1,0.4049618189460097,0.14316430238053418,0.4108370542526245,-0.3882641439715069,0.12055241943822939,-0.38874363899230957,-0.12274530188031856,0.11480482455195727,-0.11814495921134949
12309,1491.3095935680751,48.3173998317986,474.8679931979538,221.8810562184532,0,2,7,3,0,0.36516736393859955,0.1306457111094818,0.365780770778656,-0.35212009552484386,0.11244728431020735,-0.35564181208610535,-0.10097438689703117,0.0976237685234579,-0.09995724260807037
12347,1646.73763825739,594.0132563645349,537.8538702281431,321.0905729396131,0,0,9,3,0,0.3186158973097375,0.18599296491247838,0.3827125132083893,-0.3072728906150249,0.15951867370728046,-0.3647819757461548,-0.08696019145761522,0.10607938832568496,-0.10188435763120651
12349,2177.250398555668,158.93169532987378,462.89354038494537,459.7333497841757,0,0,1,2,0,0.44295739100342574,0.10784244896460181,0.4611872136592865,-0.4133016650732951,0.09141879729807009,-0.4289742708206177,-0.15988805319869343,0.07814242602263151,-0.16661891341209412
12351,736.3733905483971,487.4623996828146,811.3853238798099,430.5874603555072,3,4,19,7,2,0.28626109135994265,0.1276783254172652,0.28377822041511536,-0.2824013976856278,0.1094041680937139,-0.2850877046585083,-0.058198087362820665,0.0912146779326181,-0.05914076417684555
12353,332.4178410847493,295.3722169635447,630.5999938146357,198.2092414080248,1,2,7,6,2,0.36092586446772545,0.15115072147452338,0.35762539505958557,-0.3471647608810913,0.12777049455038517,-0.3469526767730713,-0.09692791582203167,0.11311173539336244,-0.10047567635774612
12355,561.918770721175,475.80516116269774,324.7905824190405,784.9471080965735,3,0,8,1,1,0.3454307711854273,0.12853074902991574,0.3412780463695526,-0.33394868811782524,0.108305759985599,-0.3323145806789398,-0.09313985085000798,0.08923104557657671,-0.08727873861789703
12357,872.4437348613855,711.0715879395979,707.2948256186842,201.90615159821047,0,0,13,0,1,0.2967512169662787,0.12131873902694848,0.30109578371047974,-0.2919344605877758,0.10558704433947813,-0.2988235354423523,-0.07074807296066157,0.08305982120001774,-0.07232217490673065
12359,385.5108446686486,30.19237455337755,27.379008191033048,589.3689956487043,4,0,14,4,2,0.3638108286691542,0.13414572036866607,0.38771259784698486,-0.35592526400449676,0.10751304084132986,-0.37254902720451355,-0.09749918900090891,0.10535443242234648,-0.10968970507383347
